,SourceIP,DestinationIP,SourcePort,DestinationPort,Protocol,Duration,Sent_per_Flow,received_per_Flow,Total_Bytes_used_for_Headers
62,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.316179,66,0,52
63,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.31703,0,1454,1440
64,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.317054,66,0,52
65,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.317148,0,416,402
66,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.317154,66,0,52
67,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.404292,0,1454,1440
68,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.404373,66,0,52
69,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.40443,0,116,102
70,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.404436,66,0,52
71,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.404902,0,704,690
72,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.404925,66,0,52
73,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.407374,0,1454,1440
74,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.407397,0,110,96
75,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.407618,0,1454,1440
76,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.407624,0,116,102
77,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.407896,0,1454,1440
78,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.408156,0,1454,1440
79,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.408426,0,1454,1440
80,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.408691,0,1454,1440
81,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.409397,0,1454,1440
82,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.409628,0,1454,1440
83,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.411917,0,1454,1440
84,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.412142,0,1454,1440
85,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.412313,0,1454,1440
86,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.412571,0,1454,1440
87,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.412841,0,1454,1440
88,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.413102,0,1454,1440
89,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.414781,66,0,52
90,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.415208,0,1454,1440
91,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.415361,0,1454,1440
92,94.130.124.124,192.168.43.20,https,60438,TCP,1646094935.415365,0,66,52
93,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.41563,0,1454,1440
94,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.415799,0,127,113
95,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.415871,66,0,52
96,94.130.124.124,192.168.43.20,https,60438,TCP,1646094935.416261,0,105,91
97,192.168.43.20,94.130.124.124,60438,https,TCP,1646094935.457739,66,0,52
98,192.168.43.20,142.250.75.226,42672,https,TCP,1646094935.48169,101,0,87
99,192.168.43.20,185.51.200.2,53858,domain,UDP,1646094935.648049,90,0,76
100,192.168.43.20,185.51.200.2,34898,domain,UDP,1646094935.651011,86,0,72
101,192.168.43.20,176.9.122.183,52826,https,TCP,1646094935.660192,160,0,146
102,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.661947,175,0,161
103,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.662467,160,0,146
104,185.51.200.2,192.168.43.20,domain,53858,UDP,1646094935.670196,0,90,76
105,192.168.43.20,185.51.200.2,53858,domain,UDP,1646094935.670551,79,0,65
106,185.51.200.2,192.168.43.20,domain,34898,UDP,1646094935.677729,0,167,153
107,185.51.200.2,192.168.43.20,domain,53858,UDP,1646094935.701044,0,79,65
108,176.9.122.183,192.168.43.20,https,52826,TCP,1646094935.765581,0,66,52
109,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.765634,0,66,52
110,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.76725,0,194,180
111,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.767292,66,0,52
112,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.768299,0,66,52
113,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.770982,0,157,143
114,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.771019,66,0,52
115,176.9.122.183,192.168.43.20,https,52826,TCP,1646094935.772785,0,151,137
116,192.168.43.20,176.9.122.183,52826,https,TCP,1646094935.772826,66,0,52
117,192.168.43.20,176.9.122.183,52826,https,TCP,1646094935.774827,105,0,91
118,176.9.122.183,192.168.43.20,https,52826,TCP,1646094935.933628,0,66,52
119,192.168.43.20,142.250.75.226,42672,https,TCP,1646094935.961692,101,0,87
120,142.250.75.226,192.168.43.20,https,42672,TCP,1646094936.101947,0,1454,1440
121,192.168.43.20,142.250.75.226,42672,https,TCP,1646094936.101983,66,0,52
122,142.250.75.226,192.168.43.20,https,42672,TCP,1646094936.103822,0,1454,1440
123,192.168.43.20,142.250.75.226,42672,https,TCP,1646094936.103859,66,0,52
124,192.168.43.20,94.130.124.120,35370,https,TCP,1646094936.205139,283,0,269
125,192.168.43.20,94.130.124.120,35370,https,TCP,1646094936.209308,799,0,785
126,192.168.43.20,185.51.200.2,35471,domain,UDP,1646094936.210637,86,0,72
127,192.168.43.20,185.51.200.2,34636,domain,UDP,1646094936.212782,87,0,73
128,192.168.43.20,176.9.122.215,44634,https,TCP,1646094936.21764,74,0,60
129,192.168.43.20,185.51.200.2,43019,domain,UDP,1646094936.231832,98,0,84
130,192.168.43.20,185.51.200.2,38012,domain,UDP,1646094936.235502,95,0,81
131,185.51.200.2,192.168.43.20,domain,35471,UDP,1646094936.236956,0,167,153
132,185.51.200.2,192.168.43.20,domain,34636,UDP,1646094936.238007,0,87,73
133,192.168.43.20,185.51.200.2,34636,domain,UDP,1646094936.238185,76,0,62
134,192.168.43.20,185.51.200.2,59274,domain,UDP,1646094936.248324,95,0,81
135,185.51.200.2,192.168.43.20,domain,43019,UDP,1646094936.254738,0,158,144
136,185.51.200.2,192.168.43.20,domain,34636,UDP,1646094936.260097,0,76,62
137,185.51.200.2,192.168.43.20,domain,38012,UDP,1646094936.260178,0,95,81
138,192.168.43.20,185.51.200.2,38012,domain,UDP,1646094936.260508,84,0,70
139,185.51.200.2,192.168.43.20,domain,59274,UDP,1646094936.268849,0,176,162
140,142.250.75.226,192.168.43.20,https,42672,TCP,1646094936.284217,0,1454,1440
141,192.168.43.20,142.250.75.226,42672,https,TCP,1646094936.284306,78,0,64
142,185.51.200.2,192.168.43.20,domain,38012,UDP,1646094936.291821,0,84,70
143,142.250.75.226,192.168.43.20,https,42672,TCP,1646094936.305146,0,1454,1440
144,192.168.43.20,142.250.75.226,42672,https,TCP,1646094936.305192,78,0,64
145,94.130.124.120,192.168.43.20,https,35370,TCP,1646094936.314782,0,66,52
146,176.9.122.215,192.168.43.20,https,44634,TCP,1646094936.318646,0,74,60
147,192.168.43.20,176.9.122.215,44634,https,TCP,1646094936.318764,66,0,52
148,94.130.124.120,192.168.43.20,https,35370,TCP,1646094936.318791,0,66,52
149,142.250.75.226,192.168.43.20,https,42672,TCP,1646094936.324331,0,1454,1440
150,192.168.43.20,142.250.75.226,42672,https,TCP,1646094936.324381,78,0,64
151,94.130.124.120,192.168.43.20,https,35370,TCP,1646094936.32623,0,230,216
152,94.130.124.120,192.168.43.20,https,35370,TCP,1646094936.328433,0,136,122
153,94.130.124.120,192.168.43.20,https,35370,TCP,1646094936.334964,0,269,255
154,192.168.43.20,176.9.122.215,44634,https,TCP,1646094936.335289,712,0,698
155,192.168.43.20,94.130.124.120,35370,https,TCP,1646094936.336299,105,0,91
156,142.250.75.226,192.168.43.20,https,42672,TCP,1646094936.344833,0,1454,1440
157,192.168.43.20,142.250.75.226,42672,https,TCP,1646094936.344882,78,0,64
158,142.250.75.226,192.168.43.20,https,42672,TCP,1646094936.428102,0,1454,1440
159,192.168.43.20,142.250.75.226,42672,https,TCP,1646094936.428151,86,0,72
160,142.250.75.226,192.168.43.20,https,42672,TCP,1646094936.447931,0,1454,1440
161,192.168.43.20,142.250.75.226,42672,https,TCP,1646094936.447981,86,0,72
162,94.130.124.120,192.168.43.20,https,35370,TCP,1646094936.454739,0,66,52
163,176.9.122.215,192.168.43.20,https,44634,TCP,1646094936.455385,0,66,52
164,142.250.75.226,192.168.43.20,https,42672,TCP,1646094936.46876,0,1454,1440
165,192.168.43.20,142.250.75.226,42672,https,TCP,1646094936.468928,86,0,72
166,176.9.122.215,192.168.43.20,https,44634,TCP,1646094936.476116,0,304,290
167,192.168.43.20,176.9.122.215,44634,https,TCP,1646094936.476209,66,0,52
168,192.168.43.20,176.9.122.215,44634,https,TCP,1646094936.479334,130,0,116
169,192.168.43.20,176.9.122.215,44634,https,TCP,1646094936.482686,236,0,222
170,192.168.43.20,151.101.129.69,51146,https,TCP,1646094936.524582,180,0,166
171,192.168.43.20,176.9.122.215,44634,https,TCP,1646094936.525082,387,0,373
172,192.168.43.20,176.9.122.215,44634,https,TCP,1646094936.525852,179,0,165
173,192.168.43.20,176.9.122.215,44634,https,TCP,1646094936.527459,178,0,164
174,142.250.75.226,192.168.43.20,https,42672,TCP,1646094936.52863,0,1454,1440
175,192.168.43.20,142.250.75.226,42672,https,TCP,1646094936.528671,94,0,80
176,192.168.43.20,151.101.129.69,51146,https,TCP,1646094936.530088,160,0,146
177,142.250.75.226,192.168.43.20,https,42672,TCP,1646094936.549434,0,1454,1440
178,192.168.43.20,142.250.75.226,42672,https,TCP,1646094936.549512,86,0,72
179,176.9.122.215,192.168.43.20,https,44634,TCP,1646094936.580557,0,66,52
180,142.250.75.226,192.168.43.20,https,42672,TCP,1646094936.589397,0,1454,1440
181,192.168.43.20,142.250.75.226,42672,https,TCP,1646094936.589548,94,0,80
182,176.9.122.215,192.168.43.20,https,44634,TCP,1646094936.589607,0,66,52
183,176.9.122.215,192.168.43.20,https,44634,TCP,1646094936.591292,0,128,114
184,192.168.43.20,176.9.122.215,44634,https,TCP,1646094936.59136,66,0,52
185,192.168.43.20,176.9.122.215,44634,https,TCP,1646094936.596728,97,0,83
186,176.9.122.215,192.168.43.20,https,44634,TCP,1646094936.601135,0,97,83
187,192.168.43.20,176.9.122.215,44634,https,TCP,1646094936.601207,66,0,52
188,192.168.43.20,185.51.200.2,43715,domain,UDP,1646094936.604206,93,0,79
189,192.168.43.20,185.51.200.2,33356,domain,UDP,1646094936.604524,93,0,79
190,192.168.43.20,185.51.200.2,50720,domain,UDP,1646094936.604637,93,0,79
191,192.168.43.20,185.51.200.2,49414,domain,UDP,1646094936.604731,93,0,79
192,192.168.43.20,185.51.200.2,46019,domain,UDP,1646094936.604831,85,0,71
193,151.101.129.69,192.168.43.20,https,51146,TCP,1646094936.617423,0,66,52
194,151.101.129.69,192.168.43.20,https,51146,TCP,1646094936.619753,0,1454,1440
195,192.168.43.20,151.101.129.69,51146,https,TCP,1646094936.619867,66,0,52
196,151.101.129.69,192.168.43.20,https,51146,TCP,1646094936.622135,0,1203,1189
197,192.168.43.20,151.101.129.69,51146,https,TCP,1646094936.62219,66,0,52
198,185.51.200.2,192.168.43.20,domain,33356,UDP,1646094936.625374,0,177,163
199,185.51.200.2,192.168.43.20,domain,46019,UDP,1646094936.626419,0,225,211
200,192.168.43.20,185.51.200.2,38471,domain,UDP,1646094936.627467,89,0,75
201,151.101.129.69,192.168.43.20,https,51146,TCP,1646094936.629539,0,66,52
202,151.101.129.69,192.168.43.20,https,51146,TCP,1646094936.629987,0,156,142
203,192.168.43.20,151.101.129.69,51146,https,TCP,1646094936.630047,66,0,52
204,176.9.122.215,192.168.43.20,https,44634,TCP,1646094936.632966,0,66,52
205,176.9.122.215,192.168.43.20,https,44634,TCP,1646094936.635133,0,66,52
206,176.9.122.215,192.168.43.20,https,44634,TCP,1646094936.64537,0,1454,1440
207,192.168.43.20,176.9.122.215,44634,https,TCP,1646094936.645454,66,0,52
208,176.9.122.215,192.168.43.20,https,44634,TCP,1646094936.645515,0,69,55
209,192.168.43.20,176.9.122.215,44634,https,TCP,1646094936.645522,66,0,52
210,176.9.122.215,192.168.43.20,https,44634,TCP,1646094936.645742,0,1454,1440
211,192.168.43.20,176.9.122.215,44634,https,TCP,1646094936.645797,66,0,52
212,176.9.122.215,192.168.43.20,https,44634,TCP,1646094936.645812,0,680,666
213,192.168.43.20,176.9.122.215,44634,https,TCP,1646094936.645844,66,0,52
214,176.9.122.215,192.168.43.20,https,44634,TCP,1646094936.646075,0,1454,1440
215,192.168.43.20,176.9.122.215,44634,https,TCP,1646094936.646089,66,0,52
216,176.9.122.215,192.168.43.20,https,44634,TCP,1646094936.64649,0,69,55
217,192.168.43.20,176.9.122.215,44634,https,TCP,1646094936.646511,66,0,52
218,176.9.122.215,192.168.43.20,https,44634,TCP,1646094936.647347,0,1016,1002
219,192.168.43.20,176.9.122.215,44634,https,TCP,1646094936.647379,66,0,52
220,176.9.122.215,192.168.43.20,https,44634,TCP,1646094936.647596,0,1454,1440
221,192.168.43.20,176.9.122.215,44634,https,TCP,1646094936.689751,66,0,52
222,176.9.122.215,192.168.43.20,https,44634,TCP,1646094936.692923,0,407,393
223,192.168.43.20,176.9.122.215,44634,https,TCP,1646094936.693528,66,0,52
224,142.250.75.226,192.168.43.20,https,42672,TCP,1646094936.716917,0,1454,1440
225,192.168.43.20,142.250.75.226,42672,https,TCP,1646094936.716976,94,0,80
226,142.250.75.226,192.168.43.20,https,42672,TCP,1646094936.71865,0,1454,1440
227,192.168.43.20,142.250.75.226,42672,https,TCP,1646094936.718736,86,0,72
228,185.51.200.2,192.168.43.20,domain,43715,UDP,1646094936.72529,0,141,127
229,192.168.43.20,185.51.200.2,51305,domain,UDP,1646094936.726856,86,0,72
230,192.168.43.20,185.51.200.2,56235,domain,UDP,1646094936.726966,86,0,72
231,176.9.122.215,192.168.43.20,https,44634,TCP,1646094936.74606,0,66,52
232,185.51.200.2,192.168.43.20,domain,38471,UDP,1646094936.780515,0,117,103
233,192.168.43.20,185.51.200.2,54134,domain,UDP,1646094936.781721,79,0,65
234,192.168.43.20,185.51.200.2,55522,domain,UDP,1646094936.842739,86,0,72
235,185.51.200.2,192.168.43.20,domain,51305,UDP,1646094936.847769,0,102,88
236,185.51.200.2,192.168.43.20,domain,49414,UDP,1646094936.850971,0,191,177
237,192.168.43.20,185.51.200.2,37422,domain,UDP,1646094936.851402,97,0,83
238,185.51.200.2,192.168.43.20,domain,50720,UDP,1646094936.855778,0,197,183
239,185.51.200.2,192.168.43.20,domain,55522,UDP,1646094936.864342,0,167,153
240,185.51.200.2,192.168.43.20,domain,37422,UDP,1646094936.869765,0,158,144
241,192.168.43.20,185.51.200.2,35186,domain,UDP,1646094936.870904,89,0,75
242,192.168.43.20,185.51.200.2,45843,domain,UDP,1646094936.871149,89,0,75
243,185.51.200.2,192.168.43.20,domain,56235,UDP,1646094936.893767,0,179,165
244,185.51.200.2,192.168.43.20,domain,35186,UDP,1646094936.894475,0,105,91
245,192.168.43.20,185.51.200.2,45370,domain,UDP,1646094936.89532,87,0,73
246,192.168.43.20,185.51.200.2,49479,domain,UDP,1646094936.895542,87,0,73
247,185.51.200.2,192.168.43.20,domain,45843,UDP,1646094936.897997,0,89,75
248,192.168.43.20,185.51.200.2,45843,domain,UDP,1646094936.898186,78,0,64
249,192.168.43.20,151.101.129.69,51146,https,TCP,1646094936.905221,164,0,150
250,192.168.43.20,185.51.200.2,43326,domain,UDP,1646094936.908659,90,0,76
251,192.168.43.20,185.51.200.2,37170,domain,UDP,1646094936.908869,90,0,76
252,185.51.200.2,192.168.43.20,domain,54134,UDP,1646094936.918293,0,95,81
253,185.51.200.2,192.168.43.20,domain,45370,UDP,1646094936.918897,0,103,89
254,192.168.43.20,185.51.200.2,43703,domain,UDP,1646094936.919693,79,0,65
255,185.51.200.2,192.168.43.20,domain,45843,UDP,1646094936.923644,0,78,64
256,192.168.43.20,185.51.200.2,39266,domain,UDP,1646094936.924581,94,0,80
257,192.168.43.20,185.51.200.2,45980,domain,UDP,1646094936.924957,94,0,80
258,185.51.200.2,192.168.43.20,domain,49479,UDP,1646094936.92507,0,87,73
259,192.168.43.20,185.51.200.2,49479,domain,UDP,1646094936.925203,76,0,62
260,185.51.200.2,192.168.43.20,domain,49479,UDP,1646094936.950945,0,76,62
261,192.168.43.20,185.51.200.2,52455,domain,UDP,1646094936.952026,95,0,81
262,192.168.43.20,185.51.200.2,47668,domain,UDP,1646094936.952449,95,0,81
263,151.101.129.69,192.168.43.20,https,51146,TCP,1646094936.998038,0,66,52
264,151.101.129.69,192.168.43.20,https,51146,TCP,1646094936.998118,0,155,141
265,192.168.43.20,151.101.129.69,51146,https,TCP,1646094936.998137,66,0,52
266,185.51.200.2,192.168.43.20,domain,43703,UDP,1646094937.06539,0,172,158
267,192.168.43.20,185.51.200.2,55717,domain,UDP,1646094937.066749,87,0,73
268,185.51.200.2,192.168.43.20,domain,55717,UDP,1646094937.098028,0,237,223
269,192.168.43.20,185.51.200.2,40920,domain,UDP,1646094937.098966,91,0,77
270,185.51.200.2,192.168.43.20,domain,43326,UDP,1646094937.114161,0,122,108
271,185.51.200.2,192.168.43.20,domain,40920,UDP,1646094937.118359,0,173,159
272,192.168.43.20,185.51.200.2,35488,domain,UDP,1646094937.120159,100,0,86
273,192.168.43.20,104.21.45.16,60046,https,TCP,1646094937.1332,74,0,60
274,185.51.200.2,192.168.43.20,domain,35488,UDP,1646094937.139602,0,100,86
275,192.168.43.20,185.51.200.2,35488,domain,UDP,1646094937.140032,89,0,75
276,185.51.200.2,192.168.43.20,domain,35488,UDP,1646094937.158786,0,89,75
277,185.51.200.2,192.168.43.20,domain,52455,UDP,1646094937.175019,0,133,119
278,185.51.200.2,192.168.43.20,domain,47668,UDP,1646094937.198508,0,182,168
279,192.168.43.20,185.51.200.2,49942,domain,UDP,1646094937.198948,92,0,78
280,192.168.43.20,52.222.174.113,57302,https,TCP,1646094937.22062,146,0,132
281,185.51.200.2,192.168.43.20,domain,49942,UDP,1646094937.220649,0,157,143
282,192.168.43.20,142.250.75.226,42672,https,TCP,1646094937.225514,161,0,147
283,192.168.43.20,94.130.124.118,36698,https,TCP,1646094937.225947,141,0,127
284,185.51.200.2,192.168.43.20,domain,45980,UDP,1646094937.229807,0,265,251
285,192.168.43.20,185.51.200.2,36235,domain,UDP,1646094937.23057,123,0,109
286,104.21.45.16,192.168.43.20,https,60046,TCP,1646094937.235401,0,66,52
287,192.168.43.20,104.21.45.16,60046,https,TCP,1646094937.235472,54,0,40
288,192.168.43.20,104.21.45.16,60046,https,TCP,1646094937.243256,571,0,557
289,192.168.43.20,185.51.200.2,55048,domain,UDP,1646094937.252944,100,0,86
290,185.51.200.2,192.168.43.20,domain,39266,UDP,1646094937.25319,0,219,205
291,185.51.200.2,192.168.43.20,domain,37170,UDP,1646094937.255411,0,146,132
292,185.51.200.2,192.168.43.20,domain,36235,UDP,1646094937.256459,0,204,190
293,192.168.43.20,185.51.200.2,56048,domain,UDP,1646094937.270187,86,0,72
294,192.168.43.20,104.21.45.16,51887,443,UDP,1646094937.27266,1399,0,1385
295,185.51.200.2,192.168.43.20,domain,55048,UDP,1646094937.274415,0,100,86
296,192.168.43.20,185.51.200.2,55048,domain,UDP,1646094937.274614,89,0,75
297,192.168.43.20,94.130.124.125,41042,https,TCP,1646094937.278775,74,0,60
298,185.51.200.2,192.168.43.20,domain,56048,UDP,1646094937.292019,0,167,153
299,185.51.200.2,192.168.43.20,domain,55048,UDP,1646094937.303099,0,89,75
300,192.168.43.20,151.101.129.69,51146,https,TCP,1646094937.323769,181,0,167
301,192.168.43.20,151.101.129.69,51146,https,TCP,1646094937.326416,108,0,94
302,94.130.124.118,192.168.43.20,https,36698,TCP,1646094937.344194,0,148,134
303,192.168.43.20,94.130.124.118,36698,https,TCP,1646094937.344247,66,0,52
304,192.168.43.20,94.130.124.118,36698,https,TCP,1646094937.345031,105,0,91
305,104.21.45.16,192.168.43.20,https,60046,TCP,1646094937.352942,0,54,40
306,104.21.45.16,192.168.43.20,https,60046,TCP,1646094937.357455,0,1454,1440
307,192.168.43.20,104.21.45.16,60046,https,TCP,1646094937.357552,54,0,40
308,104.21.45.16,192.168.43.20,https,60046,TCP,1646094937.357725,0,1454,1440
309,192.168.43.20,104.21.45.16,60046,https,TCP,1646094937.35778,54,0,40
310,104.21.45.16,192.168.43.20,https,60046,TCP,1646094937.357795,0,169,155
311,192.168.43.20,104.21.45.16,60046,https,TCP,1646094937.357833,54,0,40
312,142.250.75.226,192.168.43.20,https,42672,TCP,1646094937.362946,0,202,188
313,192.168.43.20,142.250.75.226,42672,https,TCP,1646094937.362988,94,0,80
314,142.250.75.226,192.168.43.20,https,42672,TCP,1646094937.363182,0,1454,1440
315,192.168.43.20,142.250.75.226,42672,https,TCP,1646094937.36319,94,0,80
316,192.168.43.20,104.21.45.16,60046,https,TCP,1646094937.376667,118,0,104
317,52.222.174.113,192.168.43.20,https,57302,TCP,1646094937.379221,0,409,395
318,192.168.43.20,52.222.174.113,57302,https,TCP,1646094937.379321,66,0,52
319,52.222.174.113,192.168.43.20,https,57302,TCP,1646094937.379346,0,97,83
320,192.168.43.20,52.222.174.113,57302,https,TCP,1646094937.379382,66,0,52
321,192.168.43.20,104.21.45.16,60046,https,TCP,1646094937.380575,224,0,210
322,104.21.45.16,192.168.43.20,443,51887,UDP,1646094937.38097,0,1242,1228
323,192.168.43.20,104.21.45.16,60046,https,TCP,1646094937.381857,1384,0,1370
324,142.250.75.226,192.168.43.20,https,42672,TCP,1646094937.382639,0,1454,1440
325,192.168.43.20,142.250.75.226,42672,https,TCP,1646094937.382682,94,0,80
326,104.21.45.16,192.168.43.20,443,51887,UDP,1646094937.388329,0,1242,1228
327,104.21.45.16,192.168.43.20,443,51887,UDP,1646094937.388425,0,1242,1228
328,104.21.45.16,192.168.43.20,443,51887,UDP,1646094937.388668,0,1242,1228
329,104.21.45.16,192.168.43.20,443,51887,UDP,1646094937.388831,0,648,634
330,94.130.124.125,192.168.43.20,https,41042,TCP,1646094937.38894,0,74,60
331,192.168.43.20,94.130.124.125,41042,https,TCP,1646094937.38902,66,0,52
